    0	          37415.054687500000000	         -31376.060546875000000	           6038.994140625000000
    1	          37415.085937500000000	         -31671.253906250000000	           5743.832031250000000
    2	          37415.097656250000000	         -32356.375000000000000	           5058.722656250000000
    3	          37415.070312500000000	         -33406.031250000000000	           4009.039062500000000
    4	          37415.078125000000000	         -34809.187500000000000	           2605.890625000000000
    5	          37415.078125000000000	         -36570.304687500000000	            844.775390625000000
    6	          37415.093750000000000	         -38606.656250000000000	          -1191.564453125000000
    7	          37415.066406250000000	         -40892.609375000000000	          -3477.541015625000000
    8	          37415.078125000000000	         -43388.093750000000000	          -5973.017578125000000
    9	          37415.085937500000000	         -46035.765625000000000	          -8620.681640625000000
   10	          37415.078125000000000	         -48824.117187500000000	         -11409.037109375000000
   11	          37415.070312500000000	         -51660.898437500000000	         -14245.826171875000000
   12	          37415.074218750000000	         -54544.851562500000000	         -17129.775390625000000
   13	          37415.101562500000000	         -57436.054687500000000	         -20020.955078125000000
   14	          37415.070312500000000	         -60299.804687500000000	         -22884.736328125000000
   15	          37415.070312500000000	         -63107.820312500000000	         -25692.751953125000000
   16	          37415.085937500000000	         -65845.164062500000000	         -28430.076171875000000
   17	          37415.078125000000000	         -68498.640625000000000	         -31083.564453125000000
   18	          37415.058593750000000	         -71065.453125000000000	         -33650.390625000000000
   19	          37415.082031250000000	         -73522.460937500000000	         -36107.375000000000000
   20	          37415.093750000000000	         -75873.351562500000000	         -38458.257812500000000
   21	          37415.078125000000000	         -78124.539062500000000	         -40709.460937500000000
   22	          37415.074218750000000	         -80262.343750000000000	         -42847.265625000000000
   23	          37415.082031250000000	         -82301.585937500000000	         -44886.500000000000000
   24	          37415.066406250000000	         -84219.546875000000000	         -46804.476562500000000
   25	          37415.074218750000000	         -86054.992187500000000	         -48639.914062500000000
   26	          37415.085937500000000	         -87806.921875000000000	         -50391.835937500000000
   27	          37415.089843750000000	         -89457.187500000000000	         -52042.093750000000000
   28	          37415.078125000000000	         -91028.007812500000000	         -53612.929687500000000
   29	          37415.078125000000000	         -92528.539062500000000	         -55113.460937500000000
   30	          37415.085937500000000	         -93959.101562500000000	         -56544.015625000000000
